ID,Name,Age,CountryCode,Salary
100,LTCNEQQKZL,44,340,3904350.103977086
101,ITOAUUACLFVYC,23,93,4476892.402115787
102,MLTWBQSSOVPPFBKCI,87,420,3887774.3828806924
103,TPHMDBQRQYYFTKTRN,28,299,9810308.924608586
104,WBGJFMKXQR,56,158,4565105.352730891
105,ZONVRGKFEEUXSS,62,275,2701966.104193563
106,VKLOTQYYBIHFPXJU,67,177,6759935.005101224
107,XOCTZVEAUF,39,92,7228648.238529244
108,YREYARRIJEJMQDAOXAYL,87,165,6172701.206173424
109,SOMIFYCRPDV,31,170,1449615.015260434
110,SFYWSHXRYE,69,214,9501820.3443915
111,TPTOSZAEGUMDSNTRBSM,38,223,1844303.6400962165
112,CHNQBYQNFSYQMEQTO,49,482,6690324.6960793305
113,ORKOGNEWPOKZLWOLUX,42,433,7165400.392202761
114,ZYAYOGSWOZNM,51,122,9971466.092879564
115,TXYTIIZZPUKKURA,47,93,4881336.413026339
116,GCBQWNRWHBVCASGGD,76,412,6788969.184815526
117,EXTSGZOPRVBJTRL,29,375,1614997.1584104619
118,XDZWEUTPFU,98,183,9595830.81333947
119,JQQZFAWDIJKGML,36,40,5509843.05487646
120,RHHGXFJYMIBO,88,409,4663883.335023787
121,WUCHNIFHPPJZWZ,63,181,294010.8843287722
122,TJLDHSIBDSROXKKYLNO,69,30,7017791.368934258
123,FXKHRFGLVYLYRVSZF,39,486,6659732.993858679
124,IRKHLYVOABZ,85,140,9527846.90242084
125,BEZMISMYTDKHUOI,35,184,4344518.319807544
126,DRXVVMNHPOHTK,96,190,56643.913086194574
127,BLSOZFYYISCL,62,242,2467291.7589495713
128,ERMRKQKLCKMRHQKCZP,32,350,2777323.946660918
129,UJDQANGEDTRQH,61,39,1344712.6742769019
130,LWCIIZGUBYVETLFHWK,100,122,5750098.132991709
131,JTTSXTZZFZNPYTMY,28,14,50623.87433993041
132,LZAOHABWPNWLPEK,88,268,4604671.518722242
133,HKLWARMLWPWUCCK,18,96,9715250.17075167
134,ETMRQPGGQJNYJV,30,304,8227176.401299793
135,JOYEUAKNLCFH,96,47,9731432.450563205
136,RDPCQTSSKSDVRHKOF,38,116,4534879.39511494
137,KKJDLAGTWZVBM,57,436,2372448.441618071
138,TLDJXIUXIJNPPEBFKAT,52,417,7446927.526895388
139,DQDGJFLRXLDUXOOQ,24,99,5166013.397713333
140,VGLGXUXCABWVZ,21,200,954264.0359697345
141,NIHYWRUIFBWSKL,61,303,1019338.9174313196
142,KVHZMWWTZNZKDUURT,89,439,165039.94899072524
143,FBMZHFUCQNIHBBBJXEY,38,136,6981623.398339612
144,BSYUXZKPYYDSVGUV,55,56,1773826.8187334626
145,ZAODVFHYQLLMCWFRO,34,313,7408824.513798778
146,ORJOMCDAMMMTARC,39,445,8410164.580280675
147,TEVYFRGPBPJW,76,142,7438966.996056193
148,MVWNSPCLJSI,81,315,5436032.48412726
149,TPEKRGWMIIIMFSCF,92,96,9644880.07002435
150,FEKRLRIYDQLZSPZDWEH,27,262,3572074.375291663
151,VDYLXPNPBLXFEAF,53,305,3525066.6787300687
152,HILBOGLKWZASIGWLDUEE,21,11,6991022.807660277
153,UPTIJSRHYTD,96,361,5577085.329688007
154,PQXHVDHIFFBXOGRIBCQ,84,102,6201891.71480244
155,LKUEOYUHFOSO,22,301,1597269.1796561268
156,AXZGJYBLXGIEM,62,313,864723.6516914793
157,FMSABUNQLVONI,29,184,3073906.8495667633
158,JRFLNJNNQYRWZ,26,437,6115273.061706015
159,RELPZIGHVXYLFRUXY,60,49,7405042.931266769
160,XZJAGTHSGDFYJFQGZ,99,407,9672495.179092778
161,UHVSKGEHPND,66,222,6231413.570243874
162,LHLQWESLTCQJFIRQ,22,405,3167702.2291700435
163,FZSMBKDQGAHZDYUEMVR,60,357,1415356.798068366
164,IPGKBEENNJIGMCDI,54,170,1967982.398303746
165,FIXVWFXELC,82,447,4274601.1087495275
166,GYMRQFAKRMEKBJQN,99,67,2632924.128902257
167,JMMTLQYSFOESE,99,404,7118275.805851334
168,PARFLMFIOQQK,67,380,4690082.543287042
169,XPDGQSQKPVBXKMT,83,40,6250519.133516874
170,TSTHHBMUMWHM,82,197,5667736.399741694
171,QGENUMVBSG,37,144,8603553.598997077
172,COZNZFNVLYFZRZMUGP,40,229,8414168.735546023
173,KIQFGQGQGXBPBVOAWEU,54,7,2567976.9947789693
174,HCROEJIUUXQHLK,65,20,6996825.409680927
175,PZJFCGJNFGVDLKLOTL,24,309,1712130.0204030077
176,DURQKZJDZT,89,98,7124355.350331538
177,GVHRVXMGLLWOLG,81,296,2928592.568293248
178,IESQCILPTXP,71,262,1311379.9470484275
179,ONBEUKUSEIXJ,21,321,7521911.82142766
180,NJOMFNLMJRYIPWAMQS,73,494,8293570.5247595655
181,MSRLPZVWRMIHL,88,333,2569259.08620696
182,DUJWJWULRSQAHWSLZ,78,235,8810176.412088793
183,MNIISRKMCLXGOOWSLBOF,90,483,1863379.1558531348
184,ZPMJDJUCBGOQSNWO,96,481,2179150.386336504
185,XFNKSWGKLBJQP,20,166,6434737.573196469
186,TTBTEDJJNVG,57,108,1563013.0393185408
187,KZLFFIUPOVADBOGYWD,20,455,1940923.682994918
188,FISJDCJNRRKINK,63,263,9888311.804150375
189,KDPSCEKHSMUUZLMR,67,479,117426.70150468715
190,THEKSALJSNSMJWI,75,431,1061074.6785772587
191,BRRPQRHQWFJOMYVWYON,96,391,3960191.070801001
192,EFMJMAFWJBR,96,477,6222763.659202724
193,BKGQHGLUJSTKG,52,286,6521209.515937096
194,CRKHIIECZYQLDAFX,82,220,6291648.430373913
195,MULMYSPZVMMPRHPXB,97,310,9485393.32006782
196,AXNIUVSQNIGFDIM,42,36,6837021.596251055
197,NQXSKIXWQVSKPGYEPAD,97,346,6530510.651841011
198,UPPBYSIJIHPJTWDXOXCX,69,211,8855040.828753483
199,UDOACKFESXKDHDBUFD,71,426,1429066.9089003298
200,ROKTEEGJJDHM,81,87,5500611.844193732
201,NMAKOAAAULFFZS,36,413,1729064.807639242
202,QXRLJJMAHWNXZQLZUPMY,42,244,9148883.994296832
203,CMLPVERMMQCFUCX,94,312,3851012.3612967804
204,VPGEJYPAKQCWR,80,243,6640115.808503718
205,ZFCDLTNDYFZVBIH,32,75,724979.672284895
206,BJPNAZEWALTDEPRKQ,45,496,1459922.851977558
207,GYCRSBABGEEPVZ,85,213,5095031.6401449675
208,GKQCOOOAHXBEZ,67,339,3046988.2899409304
209,PADPUKWBDDCUEKOUJF,73,245,5595306.391562932
210,TWFDTXQZHKMEQMPKLV,35,103,3876845.664181549
211,TLGHATCAXAHSACGMAIDN,82,100,4878454.64472218
212,DGGGUCVPUOSQZLBKFPZN,85,446,7309911.093057963
213,YEZANMGRRDATRDN,22,91,8311023.146039741
214,EXPKGUVGQEZ,37,61,107341.83842857699
215,HAAIDGFHTNSYR,83,363,4801197.036509789
216,IPLDMLVRSKLPG,84,461,9820504.12641308
217,SVDVBZKBVZKYJ,56,130,3531955.5321977073
218,CSUHIYVFOTXGA,36,467,2121220.7202496785
219,VPFDOIJZXEHBTNFIJV,52,254,2004163.5207020496
220,HDPFJWVLDSDOJRPWPJ,63,461,9599704.45369924
221,HHFLMOOCBKXFO,73,268,4830612.577717823
222,THPPBAIRXN,43,291,5980528.083968023
223,OWAFVWFNDNDIDJLDL,54,322,1546406.4981550134
224,WKKEMCFPMRPYJ,27,161,912756.353476869
225,VIDOQGTBPLHIDXLWHJ,54,243,1879473.1331774532
226,ZNGHIFGDHSLXYSTR,63,119,4148893.9074898646
227,LBQOKKQPVBKVATYPQI,100,315,7325609.337890469
228,UWLZARHCGDNUULLFQQN,61,145,6879256.315941808
229,GMWKEIJPAHFGTPZMAU,64,216,6956978.273028994
230,RHBMQSHIIQOW,71,181,3415802.4133783984
231,UHEQGKUGEQCPYPO,40,55,7886451.804532098
232,PYOKWEUJIULVDUMCC,89,233,6073732.332947495
233,NZVSPBEERYZLMCVYS,41,470,2416808.578544546
234,ELJGRSPMGSQLAGZGCTM,27,160,7397708.310131589
235,AJWRKEESFOKS,83,244,8900875.544540487
236,CDISEHKDPONDD,75,327,741680.9737514751
237,CFYXDDHSCQHKNQZF,22,237,9648451.640494674
238,IWULBGFIKHESPC,33,269,8757686.751573602
239,ARUZETAVYYNXSFBVCBN,39,46,1922825.4830061912
240,OKJWHMEGRVXF,99,307,1688411.7227496703
241,NNISJWBIHMJRRR,75,460,2685338.0289382767
242,XZIZTKNVBNBALXGCOGE,79,76,2642482.944996772
243,QMUPUHQQXZA,65,407,6772038.106581512
244,JPEGKXPGGWQHFSCN,19,422,549876.2032051781
245,OAUXTMMYWWMFCW,95,320,3280414.230208131
246,VQCBWNORUCLNRVCN,52,408,5923615.075717731
247,FPSGGSQEFHD,31,49,2367128.0768209347
248,VVZCPAFBDAHRJDMW,26,130,2907334.287837396
249,WJWBLFKEHWTSTGV,21,281,1532264.426977418
250,NLXGWVLIVDXCHCZOF,90,202,8535970.615708673
251,SIRYSOYGNY,76,79,6353364.881790943
252,MGPEALGGTUYGQ,69,204,6132825.98896579
253,DFPHQZZLIA,77,67,3063692.8167649545
254,ZUOQCUISSLX,76,287,9289829.403227827
255,TKCGVUDDZHEEVJEB,71,346,1576942.1659220995
256,KXZQANVXQFC,76,74,8184356.717689171
257,JHVQOTFMPT,48,354,5210429.575348218
258,KCQYLDJZJWKU,37,100,9924599.43239699
259,TEOPBAPPNJRKKRHCHQM,24,420,6237665.785691845
260,BIALLKTVPBSLRUHJYEUL,53,352,5458194.662220803
261,VOBOAPBATFFWJPSJ,66,449,2771337.849837592
262,HVJIBNVIZNRUASQ,23,354,1587554.733932051
263,HOZTIHXNIBZYJQLHHGV,77,66,7403919.6331953565
264,FLEAJRIQDXDHFDIDBD,85,267,9398978.672219979
265,OMAHSAWWPXHBC,29,25,212030.21643725972
266,VRXDBGYCXIZGJYFQQZ,81,420,3824811.3149121446
267,OGAOJEPSPCEHRL,77,79,8916091.449029934
268,PWUWKYWZSXEARGELAQC,39,212,2318577.149898142
269,KHGWHXAJLMUREJPFJQGE,86,10,6216209.165014994
270,RLHLNLKABMPCKK,76,91,9031803.216505358
271,KIOHPNJIMQQLAMCWYMTN,90,153,6011871.824391506
272,TDVVUIKJCOLIVXVUE,86,410,7119189.655500715
273,YYVWGTLGAFWJVULLD,64,288,7342573.363627239
274,VRFPBBILHZ,51,251,5134770.514544778
275,FSWPTNIEYQYKU,61,184,3992736.1131229405
276,VVCUNYYLUN,70,39,804441.3805563217
277,YYIDTMSMKJV,97,342,1226635.7676656628
278,NFNIHJOQSHDKVRFBR,79,462,8093790.8699567625
279,UDBLZBCYRHIS,44,222,1573577.5608004618
280,WVPBJGMPZSVWNBOVIEO,86,382,8828948.731715286
281,VNWOASFWSJBUIITH,76,469,1556378.6523008458
282,SZRKLBBGTGFECXIIQHIY,92,92,2842749.5842844383
283,UWJGYOTHYUSDAUYAM,83,77,3499289.153125571
284,ESWCSSOHLKZGJWACRKUG,66,441,6053498.590043834
285,IMHVZALCBQLFO,89,443,4695497.178145956
286,XKTEUHBXXYZFWRQQASD,45,210,6699862.707224042
287,GUAIYGLEVFH,46,150,7540236.974877823
288,ZTKFFEKZMQZFNLWKH,48,13,1626495.543331547
289,YQXYYZUOAO,39,189,2656527.499699013
290,WPIDEUOERTYYD,46,264,6413082.849819631
291,BMUHWMYPABNB,42,70,7126342.80637085
292,HYEGCNGPZQQSJ,21,143,9796755.085235538
293,APVQKEHXRIGNFRFECWR,51,219,6265012.261567809
294,HNZFERPVHIS,41,58,7754157.500493977
295,ZHCISRIHBDVPYR,84,100,9359122.642869655
296,ZBKSHLFIFTCVE,77,487,7933669.156290381
297,BAYNPYEAESXUEFOWPT,48,156,7464930.811328768
298,AZUUFKYLVGBUNPPLV,68,345,8398584.154857192
299,JWYXEXYRUFVOT,25,422,7178056.0500421645
300,DFDUGBZJMXWFCZOTFY,25,208,7176964.704124444
301,PBZWKHIRZHTHJ,80,30,7494512.311824542
302,BRYKMPCAYVFTAR,61,272,3819363.450550571
303,OUEEMMEPFWYNUUHOX,36,266,2190332.060476493
304,FHEPJFZBUABTJC,88,453,3897561.6946768067
305,XSZKQRIRRF,81,329,9921984.899210019
306,GMGPYBOFJFGLZQTXSZQ,99,268,1528476.5903828314
307,KJJHXWKLHAWACWPIPYW,78,144,4785257.980739443
308,OCDBKEAYSGXMP,74,440,7240919.838185332
309,XYQSNBWDGHZUQYCKTCYA,95,83,7421753.992330158
310,NGZPFNJXTWYNVNCY,66,124,9820083.451329987
311,BNUAZOEHQJMREQQZQDI,86,175,7962242.676812968
312,CAZGVWZREECZLKCL,56,340,1175609.6419593818
313,JDTGKQIZFPFSAE,77,371,9279523.572675446
314,FSNTCPZIJA,39,448,4200757.585387887
315,AJRDFRSNLAVGMJRM,58,191,9305613.64513051
316,GPWHAFEHNLEG,53,202,4306858.476421701
317,IGQCQAYEARQIVSYQ,22,396,5909490.059645591
318,KAIFGKNZUUNCEQO,63,389,9996566.323019134
319,BHLNEBMQZFBIBWAACK,95,118,5389224.3600995885
320,XCHFNUAHZY,58,132,7324876.048574758
321,DCCVXRFDZVG,39,117,5153465.156484616
322,WXVMWKOMZJFHV,88,139,7710954.549207057
323,KTOUQBTOJMDDI,95,146,4761159.526067255
324,YTINNZMUOQNGLIGTOOIL,49,229,6481891.21703102
325,YPYYCFKGFYFO,62,27,9050636.919484751
326,CLQSMACZAYZQEEDFSK,92,404,5123351.657157234
327,QNPFJVXNXBLCYN,61,48,6323750.130689148
328,YBDSOIXBKPPJNGAYU,40,244,4771694.634437113
329,OGBOTAOHRHBFFGNX,41,347,4072610.255706474
330,NXYJEFYLWYFIIUVCOBN,76,122,2759031.022048044
331,HMJOMXQWDCB,89,47,1010865.9089032528
332,LQXJXZQDJWP,29,474,5600415.0529505275
333,YBUVEMMCWOTZSC,67,499,8399475.678213254
334,AQOWUDALQYIJC,74,285,9944417.506433856
335,KEJNLIFICMWGQR,47,389,6817123.429146144
336,TDEKRSEYPRNTQXI,76,189,1730330.8929708204
337,RGYCLOIRHJLU,60,145,7370511.066869524
338,EKCUHTUHAEUYKXIMVGC,78,34,7474925.310616706
339,IYNAAPRMQVYLPTAOES,73,435,5138635.890846991
340,ZIZEKBWBOSD,82,1,7545981.48389633
341,UFDPNIHLIZ,58,287,4097617.2335599945
342,ISFTXGTFLPMVEDSRMZWM,95,448,8728569.000989292
343,AGDJITDKXZ,46,285,3700764.359326609
344,MIGWHSVPELLMAF,62,421,4688369.8901694035
345,GNWYFSMODXJTFBBAUZP,90,39,1378810.0581787226
346,MNDTUKTJFNIRNZDAWOUO,29,225,6551787.008738727
347,GPFWAHHRAPLLSLGWH,19,312,5155215.947594369
348,DTFRALBSVOUZSJ,70,251,6230883.732859236
349,ELRALXYSIVTCSGYO,65,268,7254267.595239142
350,UNNBKTXNTOA,26,447,2835605.4617264066
351,DOAIDLXUBGOEKDPWG,98,134,4701382.087651808
352,CXDRKAGBVOUWDR,94,214,3310967.261927646
353,OXYLNAASWRZJFMRXD,63,401,3498742.849143239
354,DCUFUGIAMZGHJGFEHTP,49,38,1975054.7385486886
355,DHYUISWWVOHYCCQN,32,185,8578695.592273053
356,NBNZKXVNXVGSXHNUDK,23,445,9959400.238560615
357,FFWBSAMNCVSQD,78,481,7424805.539043708
358,DJMRLPANWUGEBDJWOS,80,308,5904794.478727042
359,YOSJTCKRBVWRXZOZWP,64,449,7480445.680509027
360,SLWYFLGJLPMM,77,265,8849353.97861337
361,SJIVIIAAMUUZVSP,95,263,6787992.924448825
362,WMRXJNCAJGXDTGBBF,22,161,9449088.90348928
363,BDWFSBDNCPL,28,194,3499327.8339361753
364,JJLZQZJAVEL,59,425,4553299.345201479
365,YZMCAEYKDLJXF,42,445,76446.03274087945
366,DKQUBDNEIYZ,91,278,7160746.16572167
367,FKADVINAKFVINCAXZMH,65,159,4561806.801496436
368,PTRAYALKGS,47,74,7063084.395242739
369,TUFRWKMJRDI,58,327,3782791.3736511795
370,KGAEEMATDWHW,51,183,7671105.841143962
371,RWYLCVMQCMVZZJDAN,100,93,5104350.172554661
372,SDKTMJQGMPGRGFW,47,466,1895275.5497324106
373,ARYKAEISNHIQ,96,164,9908260.473982934
374,KPUQVXBCQLYPPZFW,54,306,1326442.1861041738
375,TCMMUOBLOOYLGCJV,47,412,7798477.572817547
376,RGZGLQNOTZHZQGIPCKJK,29,213,9487008.05045671
377,KKRDEERRVZPWIBPJLQ,93,485,9296942.039701551
378,QCIBQOIBOW,98,253,8855314.682344496
379,MIYAYZTTAK,86,203,1840342.8298504585
380,ESRGZSTUPZJHCARGM,18,157,7533936.19425859
381,OOHJHNBDCHCYHWDVAE,21,336,2171840.5332918973
382,LPJGFBWFQMOYITX,63,275,1819123.6935025526
383,CZVQLEZWSGBEHTH,26,12,9029769.418265067
384,VCYZMFMNQG,57,394,6752798.040663124
385,RTENWAXNED,24,263,4748865.763774092
386,TCRMDIBPJIYUW,22,426,5725759.479584604
387,MMDWMZVIJAXGUIEVVGMH,42,409,9055355.99214871
388,YKZRRYROJMMEI,97,191,5643463.366295014
389,DBGUNZMZFAHGGHSRLRF,68,441,1135444.829327048
390,SRJMREADZWMVPFUHOFR,26,446,9242934.499625996
391,SRBKRJEIZSFH,96,149,5421035.404220713
392,RPHQRGIGXXC,68,141,3980980.157155966
393,ECNRZGKTNPUVPWD,53,433,547630.3052922915
394,IERMOJEXDSOHUEIQH,78,224,539920.2748381126
395,LIVPAAJYLXYCUWAHY,53,307,8476880.855975267
396,UTZPFYTXKNMWDZB,70,354,3978832.3132373835
397,CGYRNJJZFOPHWED,72,62,1393638.749571918
398,HJJUXHULGNCHZDMAXF,75,73,6300485.430548089
399,ADKRQISUPKTFNZDED,73,116,3771847.3246171246
400,HWKUIIRRFQZUW,100,414,3517330.1952372417
401,SDQVAPCLSYYAN,77,300,6409505.664673142
402,XBPGGMSSRTZFOVCBGS,66,215,1618460.0624595087
403,FRETTBVETZTHYETPCZZ,79,310,5906399.56866065
404,ZFDUUJRTRYLCLY,92,143,3334020.899566538
405,LBWZRBBUZUHAMRHMXGCJ,60,463,5452236.32438474
406,MSHROGXGCRNY,93,121,9362512.613525243
407,QIJHZSTBZTVUL,72,82,8904078.00650274
408,CWAZYOAIETWYU,95,385,5733874.743961555
409,UFHCTBZNWKRG,58,282,6983344.519552954
410,AHXFKJBADZIMDCR,34,245,8023847.39213699
411,IGBLQNNOQDY,84,55,3750094.455420672
412,SYBIOSJHYMJQBRBS,34,492,627677.3097237956
413,POHGRIPBHUIIUAXJCA,70,83,2116281.1181506133
414,KIVXZNDFMADLAIUO,56,64,2271367.5969043165
415,DAJGDDPAGMVSFBRPIJ,68,83,5823160.86350104
416,NQJYEHFHUDBJBI,65,417,7834504.802118258
417,GOVMGAKUMW,25,139,4135852.559680082
418,NBAJEDJITNXHTM,88,239,6308369.346352625
419,ENNXHZWJHPLJ,20,461,6604454.133469311
420,LQLBZIZYBMX,68,407,2011458.7278778548
421,RIACGUFWKQWJUL,77,107,705911.9263147953
422,BYNMFYVFQLXIFPQHI,47,481,1237444.669894186
423,LQAJPUMVERDUGJZQ,76,73,1118193.1365380941
424,ONBRPBZPWKWRDT,74,9,3447986.6303841816
425,EUNMPBETFUARRRHI,73,256,7323177.855271665
426,FCDAXDZUBOMG,61,361,128303.4130114509
427,GRYBQCOKRYFZVI,73,27,1135832.7876305024
428,BFAVALTGOFQVUSYFDK,79,295,5006893.393293607
429,JHAAOCFDDNSRCCTSELVD,22,209,1934464.151165236
430,CTIJODMRKXR,87,483,5557155.512653531
431,RLICQWEJKP,36,386,434925.8417755246
432,HNDRDNZTSMX,49,426,8565319.38652631
433,NNNTBDMITKGUXLVNHNSS,67,140,8717400.65182167
434,NTZSVHQNWLM,65,24,3522281.224958791
435,RAJWFXGWXBXXTZIH,97,269,9361123.00325834
436,XRWIALEDNIGKZJJWUEH,88,293,890369.7051700302
437,SOOXOUDQDK,37,274,4114563.5165182184
438,VJOBSBTMUC,79,134,4448048.243610004
439,KTJRONBWUYKDRANRHAO,93,24,3057692.4179756367
440,ULJXJBJPIIRERBVQUI,23,319,2751072.142634968
441,ELMPNZFQSLOCBJBIT,41,296,2820061.2956716935
442,DWZYMUEVYMUXKYSEBFM,57,338,4104111.1413588175
443,RYIYMQAVDZVURRL,39,273,8639209.832616089
444,ZDVNLCTBJXJT,44,142,8360849.52916314
445,QBLNILOBPOOXLV,89,137,1104613.9450326222
446,EOJBYDRBQCBP,89,312,8712847.720501712
447,KZGFKGJGFI,42,477,3445211.657777668
448,XWDPGOUGWKH,87,351,9387963.550256655
449,TCTHMTTTPP,90,267,2109677.2544318875
450,TINGGCKTEGFVOSBYM,40,92,6511789.947606938
451,MOSUEJRPZEMGCTK,73,217,4158599.805888362
452,JEJLHFNCOAAMT,55,221,1866399.4699483472
453,KXJTRTWXUNSQSBPAOJGT,97,174,2748593.184800089
454,GWPVTKNJEQPOZ,22,337,7619905.756009393
455,ANROEZAMMJKUNUSYSR,69,22,1235868.7027593446
456,XFUWVTYZPXNKAVI,58,417,5245871.0966917295
457,GZFXPOZBQQPCFIQG,69,40,2176629.840481714
458,HFATXUOGICRPK,82,497,1223417.756388946
459,ITKGOPRXJMDQ,98,492,2197630.8281392455
460,ZYMXPVWYDJGAPMJ,30,290,9090468.623117337
461,RJDQTSLRRBHIOOU,21,374,6763854.439960543
462,PDMIHBZYGJYL,94,132,5204321.44799455
463,DLRPRRSPSN,35,283,4021833.7373162913
464,SZKKLZJHUAHXUR,82,327,438215.5132381102
465,GYQEFYMWQAOMXBPMZAFM,66,345,87126.43190904817
466,RULBIAMSYPLUQNZJXH,41,50,3488397.0522600138
467,GBLIEPVTBKYZV,48,372,9868100.535815198
468,UDXOPELEAHKVTBSXA,53,249,3564392.5949694733
